Retraining 186 models with 15 features...
Features: ['RSI_14', 'MACD', 'BB_pct', 'BB_width', 'vol_ratio', 'dist_SMA50', 'mom_5d', 'mom_20d', 'overnight_gap', 'vol_price_div', 'mean_rev_z', 'vol_regime', 'rsi_divergence', 'body_ratio', 'ret_skew']

CoinGecko market_chart for ETH-USD: 180 candles, latest $2,019.26
[83/186] ✓ USDCAD=X: 730 rows, classes=['BUY', 'HOLD', 'SELL']
[84/186] ✓ AUDUSD=X: 730 rows, classes=['BUY', 'HOLD', 'SELL']
[85/186] ✓ USDINR=X: 730 rows, classes=['BUY', 'HOLD', 'SELL']
[86/186] ✓ USDCHF=X: 730 rows, classes=['BUY', 'HOLD', 'SELL']
[87/186] ✓ ^NSEI: 689 rows, classes=['BUY', 'HOLD', 'SELL']
[88/186] ✓ ^NSEBANK: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[89/186] ✓ TCS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[90/186] ✓ RELIANCE.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[91/186] ✓ INFY.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[92/186] ✓ HDFCBANK.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[93/186] ✓ WIPRO.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[94/186] ✓ ICICIBANK.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[95/186] ✓ BAJFINANCE.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[96/186] ✓ HCLTECH.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[97/186] ✓ KOTAKBANK.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[98/186] ✓ TECHM.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[99/186] ✓ SBIN.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[100/186] ✓ AXISBANK.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[101/186] ✓ ADANIENT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[102/186] ✓ ADANIPORTS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[103/186] ✓ ADANIGREEN.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[104/186] ✓ BAJAJ-AUTO.NS: 689 rows, classes=['BUY', 'HOLD', 'SELL']
[105/186] ✓ SUNPHARMA.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[106/186] ✓ MARUTI.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[107/186] ✓ DRREDDY.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[108/186] ✓ CIPLA.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[109/186] ✓ ONGC.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[110/186] ✓ COALINDIA.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[111/186] ✓ JSWSTEEL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[112/186] ✓ TATASTEEL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[113/186] ✓ HINDUNILVR.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[114/186] ✓ ITC.NS: 691 rows, classes=['BUY', 'HOLD', 'SELL']
[115/186] ✓ ASIANPAINT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[116/186] ✓ TITAN.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[117/186] ✓ LT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[118/186] ✓ POWERGRID.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[119/186] ✓ NTPC.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[120/186] ✓ GAIL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[121/186] ✓ IOC.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[122/186] ✓ BPCL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[123/186] ✓ HINDPETRO.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[124/186] ✓ SAIL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[125/186] ✓ NMDC.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[126/186] ✓ BHEL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[127/186] ✓ CONCOR.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[128/186] ✓ TATAPOWER.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[129/186] ✓ MUTHOOTFIN.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[130/186] ✓ BAJAJFINSV.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[131/186] ✓ CHOLAFIN.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[132/186] ✓ SBILIFE.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[133/186] ✓ HDFCLIFE.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[134/186] ✓ ICICIGI.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[135/186] ✓ LICI.NS: 689 rows, classes=['BUY', 'HOLD', 'SELL']
[136/186] ✓ INDUSINDBK.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[137/186] ✓ BANKBARODA.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[138/186] ✓ PNB.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[139/186] ✓ CANBK.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
